animal,caption_label,fact
Red Panda,DID YOU KNOW?,"Red pandas use their long, bushy tails for balance and to help keep warm."
Red Fox,DID YOU KNOW?,A red fox can hear tiny animals moving beneath the ground.
White-tailed Deer,DID YOU KNOW?,Young deer have white spots that help them blend into the forest.
Raccoon,DID YOU KNOW?,Raccoons have very sensitive front paws that help them explore their surroundings.
Great Horned Owl,DID YOU KNOW?,An owl can turn its head as much as about 270 degrees.
Gray Squirrel,DID YOU KNOW?,A squirrel’s front teeth never stop growing.
Hedgehog,DID YOU KNOW?,A hedgehog can curl into a tight ball when it feels threatened.
Rabbit,DID YOU KNOW?,A rabbit’s large ears help it hear danger and keep cool.
Black Bear,DID YOU KNOW?,Black bears are very good tree climbers.
Beaver,DID YOU KNOW?,Beavers have strong orange-colored teeth that are perfect for cutting wood.
Lion,DID YOU KNOW?,Lions often live together in family groups called prides.
African Elephant,DID YOU KNOW?,"An elephant uses its trunk to breathe, smell, drink, and pick things up."
Giraffe,DID YOU KNOW?,A giraffe has seven neck bones—the same number as a human.
Zebra,DID YOU KNOW?,Every zebra has its own unique stripe pattern.
Cheetah,DID YOU KNOW?,The cheetah is the fastest land animal in the world.
Hippopotamus,DID YOU KNOW?,Hippos spend much of the day in water to help keep cool.
Rhinoceros,DID YOU KNOW?,"A rhino’s horn is made mostly from keratin, the same material found in our fingernails."
Meerkat,DID YOU KNOW?,Meerkats take turns watching for danger while the rest of the group searches for food.
Ostrich,DID YOU KNOW?,The ostrich is the largest living bird in the world.
Gazelle,DID YOU KNOW?,"Gazelles can run quickly and make high, springy leaps."
Tiger,DID YOU KNOW?,Every tiger has its own unique pattern of stripes.
Gorilla,DID YOU KNOW?,Gorillas usually move around on all fours using their knuckles.
Orangutan,DID YOU KNOW?,Orangutans build leafy nests in trees where they can rest and sleep.
Sloth,DID YOU KNOW?,Tiny plants called algae can sometimes grow on a sloth’s fur.
Toucan,DID YOU KNOW?,A toucan’s large bill helps it reach fruit growing on branches.
Macaw,DID YOU KNOW?,Macaws have strong curved beaks that can crack nuts and seeds.
Jaguar,DID YOU KNOW?,Jaguars are powerful swimmers as well as excellent hunters on land.
Crocodile,DID YOU KNOW?,Crocodiles can grow new teeth to replace ones they lose.
Tree Frog,DID YOU KNOW?,Many tree frogs have sticky toe pads that help them climb.
Chameleon,DID YOU KNOW?,A chameleon can move each eye in a different direction.
Cow,DID YOU KNOW?,A cow’s stomach has four compartments that help digest tough plants.
Horse,DID YOU KNOW?,Horses can sleep either standing up or lying down.
Pig,DID YOU KNOW?,Pigs have an excellent sense of smell.
Sheep,DID YOU KNOW?,Sheep have unusual rectangular pupils that give them a very wide view.
Goat,DID YOU KNOW?,Goats are excellent climbers and can balance on very steep ground.
Chicken,DID YOU KNOW?,Chickens take dust baths to help keep their feathers clean.
Duck,DID YOU KNOW?,Ducks spread natural oil over their feathers to help keep them waterproof.
Donkey,DID YOU KNOW?,A donkey’s large ears help it hear well and release body heat.
Llama,DID YOU KNOW?,"Llamas communicate using sounds, body movements, and the position of their ears."
Alpaca,DID YOU KNOW?,Alpacas often make a gentle humming sound to communicate.
Bottlenose Dolphin,DID YOU KNOW?,Dolphins use echolocation to help them find objects underwater.
Green Sea Turtle,DID YOU KNOW?,Green sea turtles travel long distances through the ocean.
Octopus,DID YOU KNOW?,An octopus has three hearts.
Humpback Whale,DID YOU KNOW?,Male humpback whales can sing long and complicated songs.
Shark,DID YOU KNOW?,A shark’s skeleton is made from cartilage instead of bone.
Seahorse,DID YOU KNOW?,Male seahorses carry developing babies inside a special pouch.
Harbor Seal,DID YOU KNOW?,A seal’s whiskers can detect tiny movements in the water.
Penguin,DID YOU KNOW?,Penguins use their wing-shaped flippers to swim through the water.
Crab,DID YOU KNOW?,Many crabs can regrow a lost leg after they molt.
Clownfish,DID YOU KNOW?,Clownfish can safely live among the stinging tentacles of sea anemones.
Polar Bear,DID YOU KNOW?,Polar bears have black skin underneath their thick fur.
Arctic Fox,DID YOU KNOW?,Many Arctic foxes grow a white winter coat that helps them blend into the snow.
Reindeer,DID YOU KNOW?,Both male and female reindeer can grow antlers.
Snow Leopard,DID YOU KNOW?,A snow leopard’s long tail helps it balance and can wrap around its body for warmth.
Giant Panda,DID YOU KNOW?,Giant pandas spend many hours every day eating bamboo.
Camel,DID YOU KNOW?,"A camel’s hump stores fat, not water."
Fennec Fox,DID YOU KNOW?,A fennec fox’s enormous ears help it stay cool in the desert.
Kangaroo,DID YOU KNOW?,A baby kangaroo is called a joey and grows inside its mother’s pouch.
Koala,DID YOU KNOW?,Koalas sleep for many hours because their leafy diet provides little energy.
Mountain Goat,DID YOU KNOW?,Mountain goats have special hooves that help them grip steep rocky slopes.
