number,interior_page,batch,subject,expected_filename,fact
1,9,B029,Arabian,01_arabian.png,Arabian horses are known for endurance and a distinctive dished face.
2,11,B029,Thoroughbred,02_thoroughbred.png,Thoroughbreds are athletic horses famous for racing speed.
3,13,B029,American Quarter Horse,03_american_quarter_horse.png,Quarter horses are powerful sprinters and versatile ranch horses.
4,15,B029,Appaloosa,04_appaloosa.png,Appaloosas are known for spotted coat patterns and striped hooves.
5,17,B029,Paint Horse,05_paint_horse.png,American Paint Horses have large patches of white and darker color.
6,19,B029,Mustang,06_mustang.png,Mustangs are free-roaming horses descended from domestic horses brought to the Americas.
7,21,B029,Clydesdale,07_clydesdale.png,Clydesdales are large draft horses with feathering around their lower legs.
8,23,B029,Percheron,08_percheron.png,Percherons are strong draft horses that originated in France.
9,25,B029,Belgian Draft Horse,09_belgian_draft_horse.png,Belgian draft horses are among the strongest heavy horse breeds.
10,27,B029,Shire,10_shire.png,Shires are very tall draft horses developed in Britain.
11,29,B029,Friesian,11_friesian.png,"Friesians are known for black coats, flowing manes, and feathered legs."
12,31,B029,Andalusian,12_andalusian.png,Andalusians are elegant Spanish horses known for agility and collected movement.
13,33,B029,Lipizzaner,13_lipizzaner.png,Lipizzaners are famous for classical dressage and often turn gray as they mature.
14,35,B029,Morgan,14_morgan.png,"Morgan horses are compact, versatile American horses."
15,37,B029,Tennessee Walking Horse,15_tennessee_walking_horse.png,Tennessee walking horses are known for a smooth running-walk gait.
16,39,B029,Standardbred,16_standardbred.png,Standardbreds are best known for harness racing at the trot or pace.
17,41,B029,American Saddlebred,17_american_saddlebred.png,American saddlebreds are elegant show horses known for high-stepping action.
18,43,B029,Missouri Fox Trotter,18_missouri_fox_trotter.png,Missouri fox trotters are known for a smooth four-beat gait.
19,45,B029,Paso Fino,19_paso_fino.png,"Paso finos are famous for naturally smooth, rapid four-beat gaits."
20,47,B029,Icelandic Horse,20_icelandic_horse.png,Icelandic horses are small sturdy horses that can perform a special gait called the tölt.
21,49,B029,Fjord Horse,21_fjord_horse.png,Norwegian fjord horses are strong small horses with upright two-toned manes.
22,51,B029,Haflinger,22_haflinger.png,Haflingers are compact mountain horses with chestnut coats and pale manes.
23,53,B029,Gypsy Vanner,23_gypsy_vanner.png,Gypsy Vanners are cob-type horses known for heavy leg feathering and flowing manes.
24,55,B029,Connemara Pony,24_connemara_pony.png,Connemara ponies are athletic Irish ponies known for jumping ability.
25,57,B029,Welsh Pony,25_welsh_pony.png,"Welsh ponies are hardy, energetic ponies from Wales."
26,59,B029,Shetland Pony,26_shetland_pony.png,"Shetland ponies are small, strong ponies from Scotland's Shetland Islands."
27,61,B029,Dartmoor Pony,27_dartmoor_pony.png,Dartmoor ponies are hardy native ponies from southwest England.
28,63,B029,Exmoor Pony,28_exmoor_pony.png,Exmoor ponies are an ancient British breed adapted to rough moorland.
