number,interior_page,animal,fact
1,9,Tyrannosaurus rex,T. rex had powerful jaws and teeth shaped for tearing meat.
2,11,Triceratops,Triceratops had three facial horns and a large bony frill.
3,13,Stegosaurus,Stegosaurus had large plates along its back and spikes on its tail.
4,15,Brachiosaurus,"Brachiosaurus had longer front legs than back legs, giving its body a sloping shape."
5,17,Apatosaurus,Apatosaurus was a huge long-necked plant eater with a whip-like tail.
6,19,Diplodocus,Diplodocus had an extremely long tail and a small head compared with its body.
7,21,Velociraptor,Velociraptor was a feathered predator about the size of a large turkey.
8,23,Ankylosaurus,Ankylosaurus was covered in bony armor and had a heavy tail club.
9,25,Spinosaurus,Spinosaurus had a tall sail on its back and a long crocodile-like snout.
10,27,Allosaurus,Allosaurus was a large meat-eating dinosaur with three-fingered hands.
11,29,Carnotaurus,Carnotaurus had two horn-like bumps above its eyes and very short arms.
12,31,Dilophosaurus,Dilophosaurus had two thin crests on top of its head.
13,33,Parasaurolophus,Parasaurolophus had a long hollow crest that may have helped make sounds.
14,35,Iguanodon,Iguanodon had a pointed thumb spike on each hand.
15,37,Pachycephalosaurus,Pachycephalosaurus had a thick dome of bone on top of its skull.
16,39,Gallimimus,Gallimimus had long legs and a beak-like mouth and could probably run quickly.
17,41,Deinonychus,Deinonychus had a large curved claw on each foot.
18,43,Oviraptor,Oviraptor had a toothless beak and was closely related to feathered dinosaurs.
19,45,Therizinosaurus,Therizinosaurus had enormous hand claws and probably ate mostly plants.
20,47,Compsognathus,Compsognathus was a small lightweight dinosaur with long legs.
21,49,Giganotosaurus,Giganotosaurus was one of the largest known meat-eating dinosaurs.
22,51,Albertosaurus,Albertosaurus was a close relative of T. rex that lived earlier in time.
23,53,Ceratosaurus,Ceratosaurus had a horn on its snout and bony ridges above its eyes.
24,55,Corythosaurus,Corythosaurus had a tall helmet-shaped crest on its head.
25,57,Maiasaura,Maiasaura nested in colonies and cared for young in nesting grounds.
26,59,Edmontosaurus,Edmontosaurus was a large duck-billed dinosaur with rows of grinding teeth.
27,61,Kentrosaurus,Kentrosaurus had plates near its shoulders and long spikes farther down its back.
28,63,Styracosaurus,Styracosaurus had a nose horn and several long spikes around its frill.
29,65,Protoceratops,Protoceratops was a smaller horned dinosaur with a parrot-like beak.
30,67,Euoplocephalus,Euoplocephalus was an armored dinosaur with a tail club.
31,69,Argentinosaurus,Argentinosaurus was one of the largest land animals known from fossils.
32,71,Saltasaurus,Saltasaurus was a long-necked dinosaur with small bony plates in its skin.
33,73,Amargasaurus,Amargasaurus had two rows of tall spines along its neck.
34,75,Plateosaurus,Plateosaurus was an early long-necked plant eater that lived during the Triassic Period.
35,77,Coelophysis,Coelophysis was a slim fast-moving predator from the Late Triassic.
36,79,Herrerasaurus,Herrerasaurus was one of the earliest large predatory dinosaurs.
37,81,Archaeopteryx,Archaeopteryx had feathers and wings as well as teeth and a long bony tail.
38,83,Microraptor,Microraptor was a small feathered dinosaur with flight feathers on all four limbs.
39,85,Pteranodon,Pteranodon was a flying reptile with a long head crest and no teeth.
40,87,Quetzalcoatlus,Quetzalcoatlus was a gigantic pterosaur with a wingspan similar to a small airplane.
41,89,Dimorphodon,Dimorphodon was an early pterosaur with a large head and two different kinds of teeth.
42,91,Mosasaurus,Mosasaurus was a giant marine reptile that lived in the oceans of the Late Cretaceous.
43,93,Plesiosaurus,"Plesiosaurus had a long neck, small head, and four paddle-like flippers."
44,95,Ichthyosaurus,Ichthyosaurus was a dolphin-shaped marine reptile that swam with powerful tails and fins.
45,97,Liopleurodon,Liopleurodon was a large short-necked marine reptile with strong jaws.
46,99,Dunkleosteus,Dunkleosteus was an armored fish with sharp bony jaw plates instead of normal teeth.
47,101,Megalodon,Megalodon was an enormous extinct shark known from its giant fossil teeth.
48,103,Woolly Mammoth,Woolly mammoths had long curved tusks and thick coats for cold climates.
49,105,Smilodon,Smilodon was a saber-toothed cat with very long upper canine teeth.
50,107,Megatherium,Megatherium was a giant ground sloth that could stand on its hind legs.
51,109,Glyptodon,Glyptodon was an armored mammal related to modern armadillos.
52,111,Dire Wolf,Dire wolves were large Ice Age predators that lived in the Americas.
53,113,Dodo,Dodos were flightless birds that once lived on the island of Mauritius.
54,115,Titanoboa,Titanoboa was a gigantic prehistoric snake that lived in warm tropical wetlands.
55,117,Sarcosuchus,Sarcosuchus was a huge crocodile-like reptile that lived alongside dinosaurs.
56,119,Dimetrodon,Dimetrodon had a tall sail on its back and lived before the dinosaurs.
57,121,Edaphosaurus,Edaphosaurus was an early plant eater with a tall sail along its back.
58,123,Megaloceros,Megaloceros was a giant deer with enormous antlers.
59,125,Woolly Rhinoceros,Woolly rhinoceroses had thick fur and lived in cold Ice Age environments.
60,127,Terror Bird,Terror birds were large flightless predators with powerful beaks and long legs.
